,Rank,Title,Released,Rating,Genres,Description
169,170,The Bridge on the River Kwai,1957,8.1,"['Adventure', 'Drama', 'War']","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t... Read all"
170,171,Godzilla Minus One,2023,8.4,"['Action', 'Adventure', 'Drama']","Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
171,172,Fargo,1996,8.1,"['Crime', 'Thriller']",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
172,173,Warrior,2011,8.1,"['Action', 'Drama', 'Sport']","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ... Read all"
173,174,Klaus,2019,8.2,"['Animation', 'Adventure', 'Comedy']","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv... Read all"
174,175,Catch Me If You Can,2002,8.1,"['Biography', 'Crime', 'Drama']","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
175,176,Gran Torino,2008,8.1,['Drama'],"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
176,177,My Neighbour Totoro,1988,8.1,"['Animation', 'Comedy', 'Family']","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
177,178,Million Dollar Baby,2004,8.1,"['Drama', 'Sport']","Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close... Read all"
178,179,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"['Adventure', 'Family', 'Fantasy']","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
179,180,Bacheha-Ye Aseman,1997,8.2,"['Drama', 'Family', 'Sport']","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
